dt,WS,WD,Month,hours,dayofyear,target
2018-01-12 22:00:00,3.671222448348993,62.23738098144528,1,22,12,23.32586987813311
2018-01-12 23:00:00,3.35615464051564,102.19107945760048,1,23,12,45.474727948506505
2018-01-13 00:00:00,5.993681192398067,54.79022979736322,1,0,13,701.940307617187
2018-01-13 01:00:00,6.495733102162675,57.17191314697262,1,1,13,913.1524047851552
2018-01-13 02:00:00,6.847844680150343,53.50932693481442,1,2,13,1121.6415812174448
2018-01-13 03:00:00,7.996369838714595,57.5158138275146,1,3,13,1743.6515299479115
2018-01-13 04:00:00,9.034539858500144,57.98567517598463,1,4,13,2284.592366536455
2018-01-13 05:00:00,10.034343083699516,59.02707990010574,1,5,13,2651.63850911458
2018-01-13 06:00:00,10.10357586542761,62.17588297526039,1,6,13,2715.61397298177
2018-01-13 07:00:00,10.718766212463352,66.86697133382157,1,7,13,3062.050537109372
2018-01-13 08:00:00,11.443981647491434,66.10441589355463,1,8,13,3380.2170003255183
2018-01-13 09:00:00,11.493396600087417,63.683877309163385,1,9,13,3343.736368815104
2018-01-13 10:00:00,11.813371658325169,62.58025169372555,1,10,13,3402.905192057288
2018-01-13 11:00:00,12.972993373870784,61.99753888448075,1,11,13,3555.4701741536437
2018-01-13 12:00:00,12.241260051727233,56.09965451558427,1,12,13,3490.93819173177
2018-01-13 13:00:00,13.540225187937384,58.70971679687495,1,13,13,3600.284830729162
2018-01-13 14:00:00,14.22769149144485,58.08851242065423,1,14,13,3602.091674804685
2018-01-13 15:00:00,12.605251630147269,55.20252418518061,1,15,13,3473.6318766276017
2018-01-13 16:00:00,12.004293282826684,49.50497500101719,1,16,13,3396.78967285156
2018-01-13 17:00:00,13.003163337707468,49.55298487345375,1,17,13,3552.3915608723914
2018-01-13 18:00:00,13.481373151143332,49.01873970031733,1,18,13,3578.030314127604
2018-01-13 19:00:00,12.915901660919149,47.21860186258947,1,19,13,3521.684326171875
2018-01-13 20:00:00,12.76726675033565,42.75438308715817,1,20,13,3236.949218749998
2018-01-13 21:00:00,12.447199980417832,42.64591344197586,1,21,13,1860.4126586914035
2018-01-13 22:00:00,13.202321688334116,42.6670163472493,1,22,13,467.2812550862625
2018-01-13 23:00:00,13.966784954071,35.926451365152936,1,23,13,369.3448486328122
2018-01-14 00:00:00,15.977563381195033,35.032336552937785,1,0,14,618.0417531331376
2018-01-14 01:00:00,15.387328306833853,35.08081372578933,1,1,14,861.679351806638
2018-01-14 02:00:00,15.640673319498632,34.769626617431605,1,2,14,865.4904022216788
2018-01-14 03:00:00,14.665729999542185,35.950616200764934,1,3,14,810.0582021077471
